Bratislava-Ruzinov;Celkovavymerauzemiaobce-mesta(vm2);39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;39700420;
;PolnohospodarskaPoda-spolu(vm2);10219378;10186529;10187247;10133569;10125940;10108901;9772062;9713344;9668675;9373168;9183591;9136260;8993968;8807030;8721797;8648784;8577084;8330071;8313813;8299784;8241653;8232734;
;PolnohospodarskaPoda-ornaPoda(vm2);6378795;6357316;6355330;6309466;6292562;6280208;5991706;5958575;5904193;5701567;5532984;5511539;5428364;5299380;5232532;5177520;5152753;4972522;4968448;4967868;4953813;4953865;
;PolnohospodarskaPoda-chmelnica(vm2);343;343;325;325;325;325;325;325;325;325;325;325;325;325;325;325;325;325;325;325;325;325;
;PolnohospodarskaPoda-vinica(vm2);129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;
;PolnohospodarskaPoda-zahrada;2901619;2894047;2896769;2879001;2877325;2872427;2867372;2843833;2851474;2765959;2744548;2718824;2661234;2603289;2584642;2565399;2518466;2451684;2441165;2427716;2421121;2412150;
;PolnohospodarskaPoda-ovocnysad(vm2);554528;554528;554528;554528;554528;554528;554528;552716;552716;552716;553230;553230;553230;553230;553230;553230;553230;553230;553230;553230;553230;553230;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);383964;380166;380166;390120;401071;401284;358002;357766;359838;352472;352375;352213;350686;350677;350939;352181;352181;352181;350516;350516;313035;313035;
;NepolnohospodarskaPoda-spolu;29481042;29513891;29513173;29566851;29574480;29591519;29928358;29987076;30031745;30327252;30516829;30564160;30706452;30893390;30978623;31051636;31123336;31370349;31386607;31400636;31458767;31467686;
;NepolnohospodarskaPoda-lesnypozemok(vm2);2346794;2348376;2348126;2347731;2376161;2347049;2366046;2366006;2365985;2354336;2346773;2346306;2346273;2346273;2346611;2346611;2346611;2346611;2346075;2345850;2345823;2291264;
;NepolnohospodarskaPoda-vodnaplocha(vm2);2507954;2505048;2502716;2505144;2505596;2502060;2475591;2476062;2473400;2544527;2556342;2563703;2560398;2560764;2548007;2547988;2548261;2549123;2551140;2550452;2550410;2609751;
;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);13777527;13855019;13909083;13956886;13998951;14087579;14279124;17037908;17247078;17743553;18039377;18161038;18350418;18615755;18678859;18700822;18860556;18954458;18999857;19083563;19149932;19164585;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);10848767;10805448;10753248;10757090;10693772;10654831;10807597;8107100;7945282;7684836;7574337;7493113;7449363;7370598;7405146;7456215;7367908;7520157;7489535;7420771;7412602;7402086;
Bratislava-Vrakuna;Celkovavymerauzemiaobce-mesta(vm2);10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;10296679;
;PolnohospodarskaPoda-spolu(vm2);6402727;6401888;6397878;6389991;6385501;6374712;6357841;6326164;6317365;5675401;5620758;5583909;5522627;5500903;5481939;5460735;5463310;5456583;5448175;5434135;5399302;5387390;
;PolnohospodarskaPoda-ornaPoda(vm2);5151220;5136793;5126914;5125352;5124189;5120938;5106352;5078771;5075256;4605656;4542658;4485415;4428019;4413985;4397336;4378402;4384384;4381448;4375468;4366559;4336637;4335273;
;PolnohospodarskaPoda-vinica(vm2);1064;1064;1064;1064;1064;1064;1064;1064;431;431;431;431;431;431;431;431;431;431;431;431;431;431;
;PolnohospodarskaPoda-zahrada;1076648;1090221;1096132;1089807;1086787;1081801;1079516;1075435;1070782;1053297;1061652;1082046;1078160;1070470;1068155;1065885;1062478;1058366;1055938;1050807;1045896;1035348;
;PolnohospodarskaPoda-ovocnysad(vm2);9249;9293;9251;9251;8944;6392;6392;6388;6390;6390;6390;6390;6390;6390;6390;6390;6390;6390;6390;6390;6390;6390;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);164546;164517;164517;164517;164517;164517;164517;164506;164506;9627;9627;9627;9627;9627;9627;9627;9627;9948;9948;9948;9948;9948;
;NepolnohospodarskaPoda-spolu;3893952;3894791;3898801;3906688;3911178;3921967;3938838;3970515;3979314;4621278;4675921;4712770;4774052;4795776;4814740;4835944;4833369;4840096;4848504;4862544;4897377;4909289;
;NepolnohospodarskaPoda-lesnypozemok(vm2);73684;73684;73684;73684;73684;73684;73684;73579;73579;73579;73579;73579;73579;73579;73579;73579;73579;73579;73579;73579;73579;73579;
;NepolnohospodarskaPoda-vodnaplocha(vm2);263211;264284;264194;262033;254703;254833;260699;254598;254368;254371;254371;254371;254156;254045;254045;254031;253724;253724;253660;253660;253660;253225;
;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);1532877;1537742;1542021;1546028;1561844;1659376;1674716;2609207;2620540;3267668;3297831;3337016;3397306;3413895;3428096;3440903;3467452;3486526;3495716;3502650;3510098;3517555;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);2024180;2019081;2018902;2024943;2020947;1934074;1929739;1033131;1030827;1025660;1050140;1047804;1049011;1054257;1059020;1067431;1038614;1026267;1025549;1032655;1060040;1064930;
Bratislava-NoveMesto;Celkovavymerauzemiaobce-mesta(vm2);37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;37481484;
;PolnohospodarskaPoda-spolu(vm2);4495204;4495768;4489863;4485251;4474299;4465880;4455805;4438550;4391084;4366476;4263104;4233662;4079570;4043244;4006753;3993735;3978472;3919271;3896966;3879865;3862384;3847755;
;PolnohospodarskaPoda-ornaPoda(vm2);28116;54224;45528;45528;45528;45348;45348;44928;44928;44928;44928;44928;18820;18820;18820;18820;18820;18526;17882;17882;17882;17902;
;PolnohospodarskaPoda-vinica(vm2);2329444;2233670;2185821;2163731;2148742;2143145;2122565;2114593;2091331;2068435;2048329;2044948;1987571;1651873;1456865;1508016;1387461;1269607;1222334;1213809;1199437;1191934;
;PolnohospodarskaPoda-zahrada;1815306;1860769;1862426;1856162;1861036;1858649;1869708;1861658;1857853;1857717;1831179;1816297;1770515;1795411;1814179;1821383;1844873;1859561;1856243;1845742;1843836;1836412;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);322338;347105;396088;419830;418993;418738;418184;417371;396972;395396;338668;327489;302664;577140;716889;645516;727318;771577;800507;802432;801229;801507;
;NepolnohospodarskaPoda-spolu;32986280;32985716;32991621;32996233;33007185;33015604;33025679;33042934;33090400;33115008;33218380;33247822;33401914;33438240;33474731;33487749;33503012;33562213;33584518;33601619;33619100;33633729;
;NepolnohospodarskaPoda-lesnypozemok(vm2);20789333;20789131;20788961;20788953;20785173;20785120;20784458;20869477;20864801;20857076;20851125;20853826;20840150;20840168;20840168;20836429;20840168;20801228;20838906;20838906;20838906;20809806;
;NepolnohospodarskaPoda-vodnaplocha(vm2);190066;190066;190066;189796;189796;189796;189632;188522;190920;192522;192522;192841;192681;192944;192944;192706;192706;192706;192706;192719;192719;192719;
